,Hi all~ I am in the market for a new plaquette style device,1
5315,Also i often flip it over when rappelling so that it functions like a standard ATC because even when trying to use a carabiner as a 'handle' for rappelling with it in standard mode~ i still couldn't get it to run smoothly~ and if you just crank on the wire to rappel you can pop it out of the device (again this is on fat ropes)   I'd definitely recommend buying one though~ they're awesome,1
5316,Jim~ thank you for the clarification,1
5317,Everyone~ thank you for the responses~ and I believe the MegaJul is the route we're headed..,1
5318,pun intended,1
5319," As discussed in the thread on the Alpine Up~ the reason the MegaJul can't be certified as an locking assisted device but rather is ""only"" a manual locking device is because it cannot automatically stop a factor-2 fall without the correct manual intervention of the belayer",1
5320,The UIAA test the device would have to pass to get assisted locking certification looks like this:  UIAA test set-up for locking belay devices~ theuiaa.org/upload_area/cer…   and with no brake hand to move the braking strand above the device there will be no braking effect,1
5321,This is the same for all ATC-style devices~ the Mammut Smart and Smart Alpine~ and the Click Up and Alpine Up,1
5322,The UIAA certification thus does not distinguish between the behavior of the ATC-XP and Reverso on the one hand and the more vigorous braking actions of the Smarts~ Ups~ and MegaJuls---they are all lumped together as manual locking devices in spite of the substantial differences between them when it comes to holding non-factor-2 leader falls,1
5323,Personally~ I wouldn't be in a rush to embrace the MegaJul,1
5324,As a counterpoint to the raves here~ I know a handful of people who have tried them and don't like them,1
5325,Its performance appears to depend a great deal on rope diameter and the carabiner that is used~ so it is a bit hard to know what you are actually getting,1
5326,It is known to be hard on carabiners~ and the earlier models had quality-control problems (these may now have been fixed however),1
5327,The primary advantages seem to be light weight~ small size~ and modest price.,1
5328," RGold (Jim Titt~ to you also)~ correct me if I'm wrong but it appears that these tests are performed with the belay device in ""guide mode""",1
5329,In your experience does the rope diameter have that much of an effect if the belayer is lead belaying from below~ and how much slippage would occur if the belayer is not contributing to the system (handsfree) from this position?   Shoo~ she does an excellent job belaying~ however~ being about 70% of my weight~ it makes me a little nervous if I take a hard fall and she goes up into the first draw/piece when anchored below is not a sufficient option.,1
5330,RicheRich~   Don't listen to the armchair engineers who have never personally used the device,1
5331,Listen to climbers and reviewers who have actually used the device,1
5332,Rock and Ice..,1
5333,"  ""I know companies today shy away from the word “auto-locking” but Mega Jul certainly does a great job of braking a fall with very little effort.""   ""The Mega Jul is the lightest~ most versatile and best-performing all-around belay device I’ve ever used—once you get comfortable with it.""   Climbing Magazine.",1
5334,"  ""Climbing Magazine Editor's Choice 2014""",1
5335,If you're not comfortable with her catching you you should spend more time with her instead of getting an auto locking device,1
5336,Made this mistake then just picked up a reverse and spent time with practice falls and problem solved.,1
5337,On climbing forums people commonly post recommendations on gear they have never used and post routes they have never climbed,1
5338,The point is don't take anything you read on a climbing forum as fact,1
5339,Test the gear yourself and decide if it fits your own situation,1
5340,There are lots of self-proclaimed expert engineers and people with 100 years of climbing experience on here that will give you untested opinion which may or may not be relevant for your unique situation.,1
5341,Background: My wife bought me one for my birthday,1
5342,I was following the old thread where the wire kept pulling out~ but was hesitant to get one because of this,1
5343,It appears quality control in the early batches has been corrected now,1
5344,For the first few days climbing with it I carried by trusty Reverso 4 because I didn't trust  the new device yet,1
5345,Multiple days of cragging and multipitch has made me a believer,1
5346,The device catches falls nearly on its own,1
5347,In guide mode with my 9.5 or 9.4 it works great,1
5348,If someone is hang dogging~ it locks up and stays right there,1
5349,The climber doesn't slowly creep down because you moved your hand an inch,1
5350,On twin ropes (~8.2 I think) it was effortless to belay in regular and guide mode~ but still locked up nicely,1
5351,Flipping it around (non locking mode) works great for faster raps (feels like a normal ATC)~ but if you are untangling rope that didn't get tossed perfectly~ the locking mode is really nice (although a bit jerky for rappel) because you can be a bit more hands free to deal with a cluster (probably should still back up though),1
5352,It top ropes fine~ and lead belay is awesome,1
5353,Additionally since it is made of steel rather than aluminum it doesn't heat up as much and should last longer than most other devices,1
5354,I didn't pay for it but would gladly buy another,1
5355,Also people keep comparing it to a GriGri,1
5356,It is nothing like a GriGri,1
5357,It is cheaper~ allows you to rappel on it~ weighs less~ and has no moving parts to get stuck,1
5358,Teach your girlfriend to belay with an ATC and you will be happier in the long run~ but this will be a nice assist device to help her catch your whippers,1
5359,IMO,1
5360,couple quick points...at a rock gym here in boulder~ every single (as of a couple years back) groundfall they'd had~ had been with a GriGri...just fyi,1
5361,the wire issue has indeed been fixed on the megajul,1
5362,flip the unit around when rappelling (thumb loop/wire facing you~ instead of away~ as when lead-belaying) and it rappels just fine,1
5363,i've used everything from 8.7 single to 10.0...,1
5364,"  as for using skinnier ropes when belaying a second to avoid ""belayer's elbow~"" be extremely careful when using skinnier cords",1
5365,under the right (wrong) circumstances~ the rope can flip (meaning the climber's strand ends up on the bottom~ not the top) and then things get interesting quick,1
5366,now--a GiGi or even ATC/Reverso can do the same thing~ so it's not a design flaw~ but rather an issue one should be aware of when belaying a single follower,1
5367,more on this~ including video and input from an IFMGA guide here: elevationoutdoors.com/blogs…   and lastly~ i'd agree with the poster regarding more time spent coaching/practicing~ too,1
5368,technique is key; the megajul a nice backup in things go sideways~ for whatever reason,1
5369,i personally like the megajul~ my only gripe being autoblocking/belaying a single follower issue (see above link).....,1
5370,good luck!,1
5371,Well I prised myself out of my armchair a few years ago and built maybe 50 different prototypes of this kind of plate~ in the end we made an adjustable jig so we could move the two rope contact points about and vary the wedging ange of the karabiner,1
5372,I never got better results than a conventional plate so we shelved the idea when I ran off the development budget,1
5373,The problem here is it´s a very fine balance how far onto the bottom contact point the karabiner goes as naturally the rope tries to force it back and the only force available is from the position of the top contact point and the angle of the wedging face,1
5374,Basically the karabiner has to end up half-way on top of the lower entry radius and so compared with a conventional plate or tube type device the karabiner has to be much further into the device so the rope bends around the karabiner and the plate entry exit are considerably smaller,1
5375,Since most of the braking power comes from the bends the power is lost,1
5376,For an ATC XP the entry angle is around 90°~ the karabiner wrap 140° and the exit angle 45°~ for the MegaJul the numbers are approximately 30°~ 100° and 20°and with a thinner rope and under full tension probably lower still~ I shall have to measure this more exactly sometime,1
5377,Camp tried to increase the pressure between the karabiner and the bottom pin by adding a Vee slot to the upper exit when they made the YoYo but whether it worked I´ve no idea!   The Alpine Up has a little nose that drives under the karabiner which is a good idea EXCEPT it makes releasing under tension even harder~ a handling balancing act all this type have anyway~ ten years ago nobody would have accepted a belay device where you need to use a karabiner to lever it open to lower or abseil and many of us still don´t feel this is progress,1
5378,It´s the sheer depth of things like the ATC XP which makes them work so well and why tube type devices are so good~ the Reverso³ ought to be better looking at the slot design but shaving the height makes it actually a worse performer.,1
5379,This is exactly the theoretical mathematical bullshit I'm talking about,1
5380,Go out to your local sport crag where your partner is going to fall a lot and actually use a MegaJul,1
5381,It will autolock and catch your falling leader every time,1
5382,I've actually used the device for a couple of months now and that is my real life experience with the device,1
5383,I don't know the exit or entry angle,1
5384,I don't really care,1
5385,It caught the leader every time on some pretty big whippers,1
5386,That is what you should care about,1
5387,Is it fool-proof? No,1
5388,No device is but if your belayer is inattentive or gets hit in the head with a rock it is a nice to have an auto-locking/assisted-locking device instead of the rope screaming uncontrolled through the ATC,1
5389,I want to see an old man cage fight to settle this..,1
5390,I didn't read this whole thread~ but just in case the OP didn't see this~ there is some useful information~ cheers!! elena_review,1
5391," Jim~     I'm wondering if you have data that can correlate effectiveness of the ""locking assist"" vs fall factors",1
5392,And how does this data compare to ATC Guide and Reverso 3?  I think this may be valuable,1
5393,Yes~ high fall factor falls do happen,1
5394,But~ how does this device perform for climbers that understand and are able to practically eliminate high fall factors,1
5395,Also~ any device that slips~ negates the theoretic fall factor 2,1
5396,Perhaps this slippage leads to a 1.9 or 1.8 or lower,1
5397,I can't say for sure~ which is still a very high fall factor.,1
5398,RichieRich,1
5399,If you're speaking only of single pitch climbing~ a GriGri is probably a far better alternative,1
5400,I actually use a GriGri for all of my cragging and sport climbing,1
5401,For multi-pitch climbing though the MegaJul is hard to beat,1
5402,Its light,1
5403,It has never failed to lock for me(with ropes from 8m doubles and 9.3 - 9.8 singles),1
5404,Using it in guide mode with ropes 9.8 and under is really not much different than an ATC or similar,1
5405,Last but not least~ using it in Tuber mode has always worked perfectly for me on multiple rappels,1
5406,I'm using it with a BD Mini-Pearbiner.,1
5407,Only on a climbing forum can you make a recommendation on a piece of gear that you have never personally used,1
5408,That is total bullshit~ like it or not.,1
5409,I think before we leave this fecally infected thread~ a bit of review is in order,1
5410,What I wrote way back when was,1
5411,For others interested in this~ Jim hasn’t got (or at least hasn’t shared) a mathematical model of assisted braking belay device performance,1
5412,I don’t think reboot’s works for a number of reasons~ but that discussion isn’t relevant here because we are not debating  mathematical models,1
5413,Jim has some load measurements and some physical explanations in terms of rope angles in the devices,1
5414,He is~ I believe~ using the term power the way reboot has used efficiency~ i.e,1
5415,how much the device multiplies the applied hand force,1
5416,His tests so far suggest that at high loads~ the tested assisted-locking devices actually have a lower hand-force multiplication factor then an ATC-XP,1
5417,My understanding—which may be all wrong in which case Jim will~ in the fullness of time~ correct it—is that the assisted locking action can occur before the carabiner travels all the way to its highest possible position in the slot,1
5418,If this happens~ and if the load increases enough~  the carabiner is pulled further up~ which decreases various rope bend angles and so decreases the “power” of the device,1
5419,Perhaps it isn’t simply a question of carabiner position up or down the slot but also a question of the angle of the belay device under increasing loads~ and perhaps both of these possibilities work in concert,1
5420,The consequences of all this aren’t clear to me at the moment,1
5421,I don’t know whether Jim has taken static measurements at an increasing range of loads or somehow studied the dynamics of the device behavior under high fall-factors,1
5422,I don’t know how much the decreases in “power” might actually matter,1
5423,If they do matter~ I don’t know what the comparison is between rope run through an ATC and rope run through an assisted locking device for high fall factors,1
5424,The assisted-locking feature might force the rope to absorb more fall energy before running and so lead to less rope running through the device when it does run~  even though the power of the device is less at that point,1
5425,Or~ on the other hand~ the rope running after a momentary apparent locking could be a surprise that causes the belayer to lose control,1
5426,Most of us think of a belay device as a simple gadget that adds friction and so multiplies grip strength by some constant,1
5427,Indeed~ quite a few papers have been written on belay dynamics include this assumption,1
5428,But as the devices get more complicated~ this assumption may no longer be valid~ if it ever was~ and this is what Jim’s results so far are suggesting,1
5429,Whether those results have practical consequences for adopting such devices~ and/or whether those results inform the way the devices are employed~ remains to be seen.,1
5430,the mammut smart (and alpine smart) is NOT autolocking ..,1
5431,it provides an assisted lock ..,1
5432,you treat it like an ATC+ and always keep your hand on the brake (which you should with a gri gri as well)   it can and will slip should the rope be thin enough~ new and slick enough~ etc ..,1
5433,on a single line rap on a mammut 9.5 or beal 9~7 it does slip ...,1
5434,"  on falls it locks most of the time~ but there will be times when it does slip   IMO on ""normal"" falls its provides more breaking power than an ATC ..",1
5435,and on a 10mm rope which i use for most things it locks more reliably   i own and use all versions of the smart extensively every day   ive used the megajul somewhat when my partners have em ..,1
5436,it feeds and works around the same as the smart IMO ..,1
5437,but rapping on the assisted mode is a biatch without unless you use that biner as lever   and the autoblock is a biatch on anything approaching 10mm ropes   the alpine smart pulls through the device in autoblock like buttah   i havent had the opportunity to test either in high factor falls on real rock ..,1
5438,thank god   but i would definitely like to see the actual data on these braking device on such falls   ;),1
5439,Jim~ thanks for posing up all the info,1
5440,I really appreciate it,1
5441," Just to make sure that I am clear~ you are saying that the Jul / Smart will hold a ""small"" fall with less hand force from the belayer that an ATC",1
5442," However~ an ATC will hold a ""bigger"" fall with less hand force from the belayer that a Jul / Smart",1
5443,Is this accurate?  Also~ do you know at what point the Jul / Smart requires more hand force that an ATC?   In my experience with the Smart~ the exit angle of the rope from the device makes a big difference in the amount of hand force from the belayer that is required,1
5444,If directly under the first piece~ less hand force from the belayer is required,1
5445,The greater the angle between the belayer and the first piece~ the greater the amount of  hand force from the belayer that is required,1
5446,Edit to add..,1
5447,performance in factor 2 falls is not something that I am concerned about,1
5448,I set up belays so that a Factor 2 is a VERY low probability,1
5449,I always have the rope running through a piece above me~ so a factor 1.9? is about as big as I will ever need to hold,1
5450,If I am worried about a true factor 2 (which is virtually never)~ I will use a grigri,1
5451,My concern is generating stopping power where the direction of pull is up.,1
5452,The deeper a hole Brian digs himself~ the more I enjoy this thread,1
5453,Brian - do you have any idea of the background and knowledge of the individuals with whom you're rapidly losing an argument?   Richard and Jim - thank you for your tireless and timeless contributions to the climbing world,1
5454,Your posts here are always valued and appreciated.,1
5455," I was assuming that the ""assisted locking"" devices would at least have the good grace to begin slipping at higher loads than the ATC",1
5456,If that turns out not to be true I guess I'll be shelving some very expensive gadgets...,1
5457,On further inspection the reason the locking force doesn´t increase with an increasing load has nothing to do with rope dynamics or anything technical~ the karabiner is physically unable to move nearer the pressure point,1
5458,On the MegaJul it stops leaving an eye shaped hole 6mm high and more or less as wide as the slot~ on the Smart it´s bigger so it´s just a matter of how much effort it takes to pull a rope through a hole this big,1
5459,There´s a reason that both Edelrid and Mammut have to make different plates for larger and smaller ropes.,1
5460,This is a fascinating and slightly troubling discussion,1
5461,"   If I understand correctly~ in a ""traditional"" ATC device (paired with a particular rope and caribiner)~ the amount of friction created is fairly constant~ created by large bends in the rope",1
5462,"The ""slippage point"" is reached when the forces in the fall are great enough to overcome the combined friction in the system and grip strength of the belayer",1
5463,"  On an ""assisted braking"" device - the Smarts and Juls - there is actually a change in the amount of friction that depends on the interaction between the biner~ device and rope",1
5464,As the rope pulls~ the biner is forced into a position that pinches the rope between the device and the biner~ and increases the bends int he rope,1
5465,However~ theoretically (but not yet tested)~ a large and sudden enough force can cause the device to fail to engage in a way that the friction is minimized rather than maximized,1
5466,Similar to the problem that the Cinch had when it did not engage at high factor falls,1
5467,Am I getting this right?,1
5468," I just tried to explain~ perhaps incorrectly but surely not all that unclearly~ that what Jim is saying does not necessarily mean the rope will go ""streaming through the MegaJul.""   There are plenty of people out there who will tell you the rope doesn't run through a ATC either in their experience~ but there is no question at this point that it will in a big fall with high fall-factor and little system friction",1
5469," One of the problems with these discussions is the difference~ already present before ""assisted locking"" devices entered the picture~ between the behavior of belay devices in ""ordinary"" circumstances and ""extreme"" circumstances",1
5470," Most folks have never had to deal with an ""extreme"" circumstance and end up claiming the device behavior associated with such circumstances doesn't happen",1
5471,"  The situation with ""assisted lockers"" is further muddied by the fact that they are new and so experience from the field~ is even less likely to have exposed issues and anomalies",1
5472,"  By the way~ I say all this as someone who has used and promoted ""assisted locking"" devices (I use the Alpine Up) for about two years now.",1
5473,I thought my megajul was awesome~ after reading this thread I am tossing all of my tube style devices ( except for my Toucan ) and using a munter exclusively.,1
5474,Jim~ pardon my ignorance of your testing method~ but I assume that these results are from a static measure of grip force vs the load on the climber end,1
5475,Do you have any testing planned to show the grip strength requirements during a dymanic test (say a given falling mass~ height and FF) by belay device and the associated slippage?,1
5476,Jim~   Your chart maybe suggests that they need to add some cleats to the brake side of the megajul like the BD and Reverso devices?,1
5477," So basically these assisted locking devices are no worse than a reverso~ and generally better with lesser grip strength?   I will say that with my alpine smart the initial lock off on ""normal whippers"" is MUCH better than an atc guide (which i also use extensively) ..",1
5478,And on 10mm+ ropes locks pretty well   Ill take that and the butter smooth autoblock anyways   Ive always maintained that folks should be very proficient with a tube device before moving to any assisted locking device~ including the grigri   The emphasis on brake hand control regardless of device is one of the most important things in climbing   ;),1
5479,One thing those numbers suggest is that you cannot count on the MegaJul as a locking rappel device for a single strand rappel on a 9mm rope~ especially near the end of a rappel with little rope weight on it~ because with zero or near zero grip strength (i.e,1
5480,you've let go of the rope)~ the thing starts to slip at about 70 kgf = 154 lbf,1
5481,The Smart would be even worse~ with an untended slip threshold of about 40 kgf = 88 lbf,1
5482,"  Jim pointed out to me in another thread that the instructions for the Alpine Up warn not to use it in ""autolocking mode"" for single-strand rappels; I'm beginning to see why that is.",1
5483,I think I have learned a lot from this thread,1
5484,However~ not being a physicist and having had trouble with the few applied physics classes I took many years ago~ I am not sure that I am understanding the real world ramifications of the data that Jim posted,1
5485,With that in mind~ can one of you smart guys (Rgold or Jim) answer a few questions for me?   The graph shows that a fall generating ~150KG of force on the belay will require ~22KG of had force to stop when using a Smart / Jul,1
5486,If one tried to catch a fall that generated 170KG of force on the belay with ~22KG of had force~ would the rope slip a little bit and then stop as the force dissipated~ or would the rope continue to slip and the belayer be completely unable to stop the fall?   I don't use a GriGri for trad because of the higher impact forces it generates,1
5487,Assuming that the Smart / Jul will only slip a limited amount before stopping~ wouldn't the slip actually beneficial in certain circumstances where you are climbing above marginal gear and want a soft catch?   Thanks to all the posters that have contributed to this conversation,1
5488,Cheers!,1
5489,Thank you for the very comprehensive response,1
5490,Ha! Don´t want a MegaJul then~ the instructions specifically exclude palm-up (unless you´ve some wierd hands)~ gotta have the braking hand thumb pointing toward the device,1
5491,Says you´ll have a fatal accident:-),1
5492,In any case~ the Alpine Smart and MegaJul~ whatever their good points~ are just plain inferior to the Alpine Up when it comes to half-rope handling~ and since  I use half ropes almost all the time~ the Smart and Jul~ and anything else that ties up the brake hand the way they do~ are never going to be the device of choice for me.,1
5493," I'm sure it ""works fine~"" just not as well as the Alpine Up",1
5494,Look~ there's a handle on the Smart and Jul because~ in at least some circumstances~ pumping slack to the leader requires the device be levered away from the belayer's body to keep the device from grabbing,1
5495,With half ropes and the fairly common need to take one in while paying one out~ tying up the brake hand on that handle means the other hand has to be pumping one strand and switching over and around to take in the other strand,1
5496,This is at the very best awkward~ and is prone to leave more slack in the leader's ropes~ resulting~ in some cases~ in an elimination of one of the advantages of half rope technique,1
5497,When you have only one rope to manage~ fine~ but with two ropes heading through the device in opposite directions~ the Alpine Up~ which doesn't restrict what the belayer can do with their hands~ is simply a better solution,1
5498,I sure do wish I know what the force curves for it look like though...,1
5499,i never had any real problems belaying or rapping with my alpine smart on mammut 8mm halves   once the climber clips high a simply feed a bit of slack on the lower clipped roped then bring in the higher clipped rope which is the critical one   for rapping i found it little different from the version of the smart for thicker ropes~ requiring very little effort to keep control ..,1
5500,but then im very used to the smart by now   a few things worth mentioning   - the slippage in the smart is a good thing for trad climbing IMO ..,1
5501,especially if you are on smaller gear   - the particular biner makes a decent difference in the braking and feeding of the alpine smart IME ..,1
5502,a flatter profile biner like a rocklock gives is stickier than a rounder one like a william/boa   - the alpine smart is a biatch to release in autoblock ..,1
5503,its probably one of the hardest devices to do so once loaded requiring a thin dyneema sling or cord ..,1
5504,"and you cant do the biner pump which complicates self rescue scenarios   - the alpine smart can be used in a ""normal"" rapping mode ..",1
5505,but you cant bump it up like an ATC ..,1
5506,line a biner brake it only goes one way ..,1
5507,down   - the smoothness in autoblock means the alpine smart makes a great emergency ascender~ especially on double strand raps should you screw up your rap   - it is critical with the smart that the brake hand come down onto the rope  and not keep hold of the handle when a fall occurs ...,1
5508,folks have been dropped by holding onto the handle with minimal grip on the rope~ and levering up the handle slightly   one thing id like to know about these assisted locking devices is how much the greater initial braking has on the fall itself ..,1
5509,with a grigri your body basically gets pulled up right away (im sure there is some slippage in large falls~ but essentially you just get pulled up) ..,1
5510,with an ATC/munter theres an inertial phase where your hand moves up first~ as anyone who has had their hand sucked upwards can attest to   with these assisted locking devices does the higher initial braking force of the fall have any effect on holding the fall afterwards ..,1
5511,"does it make it less likely to lose control vs a munter/ATC where  the peak force occurs since there is no/not as much moving hand ""inertial phase"" ..",1
5512,or does it make it more likely to lose control  A Simulation of Climbing  and Rescue Belays    basically i think someone needs to go out an catch a whole bunch of UIAA factor 1~77 falls on a high speed camera ...,1
5513,which im sure mammut and edelrid have already done   perhaps we should ask em ..,1
5514,;),1
5515,There a bit shy about actually publishing any real results for their belay devices~ something most manufacturers are guilty of,1
5516,Us Smart users will just have to accept;- By “braking force support” we mean that in a fall the device exerts most of the braking action itself~ virtually locking the device,1
5517,The shape and geometry of the Smart Alpine provides dynamic braking of the rope in order to minimize impact on the fallen climber and the equipment~ so the belayer only needs to apply a small amount of force to lock the rope completely in the belay device,1
5518,It is true that the Smart Alpine is designed to exert an enormous braking effect on the rope~ virtually locking it....,1
5519,Or not.,1
5520,jim~   what biner did you use to test the alpine smart?,1
5521,An old-school Petzl Attache~ climbing I use the Climbing Technology one but I´m not going to waste that testing! They´re virtually identical anyway just the cT one has a clip for the belay loop to stop rotating.,1
5522,might be interesting to try it with the BD rocklock if you have one   i find a rocklock is more sticky on thinner ropes ...,1
5523,though its harder to feed and rappel on with thicker ropes   as you can see the gap is significant and noticeable on belay/rap bd rocklock~ thin rope alpine smart version  petzl attache~ thin rope alpine smart version,1
5524,I'm not liking the underhand brake strand grip they show in the BRD manual,1
5525,metoliusclimbing.com/pdf/BR…   I wonder if metolius will make a plaquette/guide mode version?,1
5526,Twin/Half 7.8mm ropes~ each strand loaded with half the hand force,1
5527,All devices rated for these ropes,1
5528,7.8mm   Incidentally don´t imagine you can actually grip these ropes with 24kg hand force~ if you can get half your doing well.,1
5529,i find it absolutely interesting that the BRD and megajul perform much worse relative to the others with ~8mm twin ropes vs,1
5530,a single ~9mm   hmmmmmmm,1
5531,Maybe I missed it but are you using the small size Alpine Smart with the 7.8mm twins and large size Alpine Smart with the 9mm single?,1
5532,Well it´s partly because this is an ongoing conversation and I´ve previously said that 9~5´s were the biggest rope the Samrt would take and that it was rated for the 7.8´s so I thought it was reasonably clear it could only be the smaller version,1
5533,It´s Mammut´s fault for calling both plates the same thing!,1
5534,And then 8.5mm half ropes,1
5535,8.5mm   Curious that the 7.8´s worked better in the ATC and Reverso so had a closer look~ the 7.8´s a much newer and softer and appear to go down into the vee slots better whereas the 8.5 is a fairly old-school and extremely robust object~ it´s hardness seems to prevent jamming down into the Vee as well,1
5536,And why is any of this interesting? Well if you are using half ropes you often get in the situation where only one strand is actually going to be loaded in a fall and the original objective was to find out how well we can grip two strands when only one is loaded,1
5537,The Italian Alpine Club and hazarded an opinion of about 40% reduction in braking force but didn´t really test it as such~ just noted it when doing some other testing,1
5538,I went a bit further and tried to see what I could hold leaving slack in one strand and then as it slid through seeing what the two-strand force was,1
5539,The reason for purchasing the Smart was in the hope it would improve matters!   The test is of nescessity not very accurate~ there are limits to how much rope sliding through my hand I enjoy,1
5540,That´s also why the BRD and Reverso³ don´t get included,1
5541,Two strand hand gripping   The 7.8 results are particularly poor~ partly because the ropes are reasonably new and still smeared with some slippery stuff in case I was ever stupid enough to go climbing in the wet and cold and partly because I have strong but large hands~ someone smaller might be able to grip the things better.,1
5542,Thanks for posting this jim   Ive always found that stiff ropes feed much better through an atc guide than soft supple one~ the stiffness keeps the it from locking up as fast   Conversely a stiff rope locks up very quickly in a smart~ and is a biatch to feed   Some of my ropes i start off with the smart and after a few hundred pitches of use~ i use an atc as it gets stiffer~ thicker and fuzzy like a bear   What concerns me is not the devices themselves ..,1
5543,"The will all do their jobs if you have a solid brake hand   But rather the promotion of them as ""autolocking"" by the climbing media and folks who recommend em as such   Heres an example outdoorgearlab.com/Belay-De…   Use the smart enough on different ropes and situations and one figures out that while it may lock sometimes~ this is depends on the situation   Over and over again i see newer climbers use such devices (and grigris) as substitute for proper braking control   And even experienced climbers get lazy when using assisted locking devices   I should probably write something up on the failure modes of the smart and the habits of the folks who use em   ;)",1
5544,What differences had you guys found between a Reverso 3 and 4 models?,1
5545,I've seen the new Jul~~~people seem to like it....haven't tried it myself,1
5546,The alpine version of the Smart is nice too~ pretty good for some thinner ropes,1
5547,Also I have an old (4 years?) MadRock device that has a removable piece that allows it to handle fatter ropes~ or when inserted does a great job with controlling even a 9.1 rope I just got,1
5548,So many choices out there~~~I use 'em all for different ropes in use.,1
5549,Jim~    The Mega Jul can be used in either of 2 direcions - as an auto locker or like an ATC,1
5550,Which way was it used in the test?  It's also VERY dependent on the type of biner.,1
5551," It is obvious from Jim's description~ comments~ and graphs that the Jul was used in it's ""autolocking"" (ha!) orientation",1
5552,On the issue of poor performance with 7.8's~ I think this highlights the comments I've been making for a long time now (based~ however~ not on real testing but just personal experience in the field) that manufacturers give overly optimistic usable ranges for their devices and we'd all be well-advised to stick to something like the middle third of those ranges,1
5553,The result is that if you use ropes of significantly varying diameters~ you really shouldn't be trying to use a single device for all of them.,1
5554,TL;DR   Does it hold falls? Is it easy to use?,1
5555,While I appreciate the discussion and have found it to be very interesting~ I have nothing but praise for this device,1
5556,I am happy with how its performed for me in many settings,1
5557,I have used it extensively sport climbing in Greece and Turkey for over a month catching many falls and easily lowering on a 9.5 Edelweiss Energy,1
5558,It always locked and performed as advertised,1
5559,As I got better using it~ it became even easier to use,1
5560,I've used it with a 9.3 and a 9.8 Mammut rope on trad climbing routes extensively as well,1
5561,Its always worked very well and has consistently caught falls,1
5562,It has worked very well climbing alpine multipitch and long multipitch in Red Rock with a set of 8.2 Mammut Double Ropes,1
5563,It caught a long fall on a single strand of those doubles with no issue,1
5564," I have rappelled with it ""backwards"" on many pitches using a backup and it has performed flawlessly",1
5565,I have used it in guide mode on Multipitch climbs on many occasions with all the ropes listed and it has always worked no problem,1
5566,I know several other folks that I've run into in the field~ who have made similar comments,1
5567,I have also run into a few folks that have commented that they didn't like it early into their adoption of the Jul and went back to an ATC or other device,1
5568,"   That said~ I'm not hearing from many people other than ""I know a guy who knows a guy"" type stories of the device performing other than advertised",1
5569,I find Weston's question appropriate,1
5570,Does it hold falls and is it easy to use?  In my and many others experience it does and it is,1
5571,although there can be a learning curve,1
5572,I've heard no direct reports from someone saying it didn't hold a fall.,1
5573,folks ..,1
5574,first of all Jim's tests who that generally the alpine smart is generally no worse than the reverso3 and in certain situations better ..,1
5575,no one is going to stop using their reversos because of these tests~ nor should they   here jims tests again  Hand Force/belay Force 9mm rope,1
5576,7.8mm  8.5mm   the other thing is that we~ on da intrawebz~ really dont know how the devices AND belayers behave in real world large falls ..,1
5577,sure we know from Jim's test they slip at a certain point ...,1
5578,"  however they dont have an ""inertial"" phase where the hand moves up towards the device when braking ...",1
5579,in the case of the smart the hand should move DOWN onto the rope fully   how much of the impact force is absorbed by the initial braking  is unknown  ..,1
5580,youll notice that with a hand belay method (munter~ ATC) the maximum force occurs at the when the hand actually starts grabbing the rope ..,1
5581,with the smart the rope is grabbed to a certain extent from the get go ..,1
5582,A Simulation of Climbing  and Rescue Belays    until some body comes out and tests it with belayers in the system for high factor falls and publishes the results we wont really know   Jims tests are valuable in that they reinforce the point that NONE of these devices are hands free and should not be treated a such..,1
5583,even if they do lock in certain circumstances   but the smart anyways will do its job if you do yours ..,1
5584,"it just isnt a ""hands free"" device ..",1
5585,no commercial climbing device is  hands free on a smart with 10mm tendon smart rope ..,1
5586,not recommended without backup   what one should worry about is not so much the devices themselves ..,1
5587,but the belayers and the folks who promote them as substitute for basic belaying skills and proper brake control (with gri gris as well)   ;),1
5588,Jim~   Thanks for the great tests and data,1
5589,Is there a way to superimpose fall forces onto your graphs so we can get a better ideal of how these results correlate to the real world?   I realize fall forces vary greatly with the factors involved including climber weight~ belayer weight~ fall factors and much more,1
5590,But~ perhaps using an 80 kg climber and an anchored belayer with varying fall factors for a simplified view,1
5591,"  From your graphs~ it appears most devices~ with most ropes are more than adequate (simplified conclusion) with single pitch and ""Unanchored"" belayers since the belay holding force only needs to be greater than the belayers weight since the belayer will be airborne if the force required to arrest the fall exceeds their body weight~ whether this is desirable or not",1
5592,"  So~ this discussion really pertains to a multi pitch scenario where high fall factors or an ""anchored"" belay exists",1
5593,Furthermore~ factor 2 is not really relevant since the rope slips in all of these devices making the factor 2 impossible,1
5594,For example~ a leader 5 feet above the belay falls 10 feet on 5 feet of rope:  10/5= ff 2,1
5595,But~ only 1 foot of rope slippage through the device yields:  11/6= ff 1.8,1
5596,"Although 1.8 is still very high and should be avoided at all costs~ the mythical ff 2 does not really exist with devices the have ""slippage"".",1
5597,Greg~ once the rope slips through the belay device under tension~ the entire fall-factor construction is no longer appropriate for discussing peak loads and it is of no theoretical~ much less practical use,1
5598,You can think of the fall factor as being related to what the peak load would be without such slippage~ but that's as far as it goes,1
5599,(The fall factor is still relevant if you just put a certain amount of slack in the rope~ however.)  Because of the relationship between fall factor and peak loads~ we do know that the likelihood of rope slippage goes up as the fall factor goes up,1
